"LOCATION"	"Country"	"VARIABLE"	"Variable"	"FREQUENCY"	"Frequency"	"TIME"	"Time"	"Unit Code"	"Unit"	"PowerCode Code"	"PowerCode"	"Reference Period Code"	"Reference Period"	"Value"	"Flag Codes"	"Flags"
"AUS"	"Australie"	"GDPV_ANNPCT"	"Produit intérieur brut, en volume, croissance"	"A"	"Annuelle"	"2020"	"2020"	"PC"	"Pourcentage"	"0"	"Unités"	"2016_17"	"2016-17"	-6.33420748571838		
"AUT"	"Autriche"	"GDPV_ANNPCT"	"Produit intérieur brut, en volume, croissance"	"A"	"Annuelle"	"2020"	"2020"	"PC"	"Pourcentage"	"0"	"Unités"	"2010"	"2010"	-7.54216696158088		
"BEL"	"Belgique"	"GDPV_ANNPCT"	"Produit intérieur brut, en volume, croissance"	"A"	"Annuelle"	"2020"	"2020"	"PC"	"Pourcentage"	"0"	"Unités"	"2015"	"2015"	-11.2320546315249		
"CAN"	"Canada"	"GDPV_ANNPCT"	"Produit intérieur brut, en volume, croissance"	"A"	"Annuelle"	"2020"	"2020"	"PC"	"Pourcentage"	"0"	"Unités"	"2012"	"2012"	-9.43209698347908		
"CZE"	"République tchèque"	"GDPV_ANNPCT"	"Produit intérieur brut, en volume, croissance"	"A"	"Annuelle"	"2020"	"2020"	"PC"	"Pourcentage"	"0"	"Unités"	"2010"	"2010"	-13.2402068471259		
"DNK"	"Danemark"	"GDPV_ANNPCT"	"Produit intérieur brut, en volume, croissance"	"A"	"Annuelle"	"2020"	"2020"	"PC"	"Pourcentage"	"0"	"Unités"	"2010"	"2010"	-7.05902163760248		
"FIN"	"Finlande"	"GDPV_ANNPCT"	"Produit intérieur brut, en volume, croissance"	"A"	"Annuelle"	"2020"	"2020"	"PC"	"Pourcentage"	"0"	"Unités"	"2010"	"2010"	-9.16549861243775		
"FRA"	"France"	"GDPV_ANNPCT"	"Produit intérieur brut, en volume, croissance"	"A"	"Annuelle"	"2020"	"2020"	"PC"	"Pourcentage"	"0"	"Unités"	"2014"	"2014"	-14.0743432414708		
"DEU"	"Allemagne"	"GDPV_ANNPCT"	"Produit intérieur brut, en volume, croissance"	"A"	"Annuelle"	"2020"	"2020"	"PC"	"Pourcentage"	"0"	"Unités"	"2015"	"2015"	-8.7584393909258		
"GRC"	"Grèce"	"GDPV_ANNPCT"	"Produit intérieur brut, en volume, croissance"	"A"	"Annuelle"	"2020"	"2020"	"PC"	"Pourcentage"	"0"	"Unités"	"2010"	"2010"	-9.83804999530992		
"HUN"	"Hongrie"	"GDPV_ANNPCT"	"Produit intérieur brut, en volume, croissance"	"A"	"Annuelle"	"2020"	"2020"	"PC"	"Pourcentage"	"0"	"Unités"	"2005"	"2005"	-9.95130148751596		
"ISL"	"Islande"	"GDPV_ANNPCT"	"Produit intérieur brut, en volume, croissance"	"A"	"Annuelle"	"2020"	"2020"	"PC"	"Pourcentage"	"0"	"Unités"	"2005"	"2005"	-11.1828999110431		
"IRL"	"Irlande"	"GDPV_ANNPCT"	"Produit intérieur brut, en volume, croissance"	"A"	"Annuelle"	"2020"	"2020"	"PC"	"Pourcentage"	"0"	"Unités"	"2017"	"2017"	-8.74377985653448		
"ITA"	"Italie"	"GDPV_ANNPCT"	"Produit intérieur brut, en volume, croissance"	"A"	"Annuelle"	"2020"	"2020"	"PC"	"Pourcentage"	"0"	"Unités"	"2010"	"2010"	-14.0068853407922		
"JPN"	"Japon"	"GDPV_ANNPCT"	"Produit intérieur brut, en volume, croissance"	"A"	"Annuelle"	"2020"	"2020"	"PC"	"Pourcentage"	"0"	"Unités"	"2011"	"2011"	-7.32236470739019		
"KOR"	"Corée"	"GDPV_ANNPCT"	"Produit intérieur brut, en volume, croissance"	"A"	"Annuelle"	"2020"	"2020"	"PC"	"Pourcentage"	"0"	"Unités"	"2015"	"2015"	-2.46867198526565		
